,City,State,City_State
588,Northport,Alabama,Northport Alabama
589,Notasulga,Alabama,Notasulga Alabama
590,Adak,Alaska,Adak Alaska
591,Goodnews Bay,Alaska,Goodnews Bay Alaska
592,Oscarville,Alaska,Oscarville Alaska
593,Akhiok,Alaska,Akhiok Alaska
594,Grayling,Alaska,Grayling Alaska
595,Ouzinkie,Alaska,Ouzinkie Alaska
596,Akiachak,Alaska,Akiachak Alaska
597,Gulkana,Alaska,Gulkana Alaska
598,Palmer,Alaska,Palmer Alaska
599,Akiak,Alaska,Akiak Alaska
600,Gustavus,Alaska,Gustavus Alaska
601,Pedro Bay,Alaska,Pedro Bay Alaska
602,Akutan,Alaska,Akutan Alaska
603,Haines,Alaska,Haines Alaska
604,Pelican,Alaska,Pelican Alaska
605,Alakanuk,Alaska,Alakanuk Alaska
606,Halibut Cove,Alaska,Halibut Cove Alaska
607,Perryville,Alaska,Perryville Alaska
608,Alatna,Alaska,Alatna Alaska
609,Happy Valley,Alaska,Happy Valley Alaska
610,Petersburg,Alaska,Petersburg Alaska
611,Alcan Border,Alaska,Alcan Border Alaska
612,Harding-Birch Lakes,Alaska,Harding-Birch Lakes Alaska
613,Pilot Point,Alaska,Pilot Point Alaska
614,Aleknagik,Alaska,Aleknagik Alaska
615,Healy,Alaska,Healy Alaska
616,Pilot Station,Alaska,Pilot Station Alaska
